No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
6683,SMP PGRI PULUPULU,SMP,Swasta,99,5,2,5,1300,4147,70,-2.96027,119.90072,-1.353310603,-0.383284478,1,0,1,0.062225016,0.943181818,0.995611362,0.995710339,0.96,0.9375,94.91993967,26
8067,SMP IT PLUS BAITUL MA ARIF MAKASSAR,SMP,Swasta,41,3,2,2,850,324,70,0,0,-1.838720345,-0.342304158,1,0,1,0.025769956,0.977272727,0.999691557,0.997346227,0.976,0.9375,94.81612582,27
1013,SD NEGERI 265 LAPPABOSSE,SD,Negeri,114,6,2,6,1300,4593,70,-4.547334,120.223478,-1.119832791,-0.067258895,0,0,1,0.071653048,0.931818182,0.995135357,0.995710339,0.952,0.9375,94.81545985,28
3481,UPT SD NEGERI 159 MULYOREJO I,SD,Negeri,224,6,3,7,1300,2192,71,-2.535751,120.446189,-0.581662601,-0.194584528,0,0,0.956521739,0.140791955,0.920454545,0.997697886,0.995710339,0.952,0.90625,94.79956136,29
2324,SD INPRES LANGKOWA,SD,Negeri,93,7,0,6,3500,691,70,-5.326702,119.834433,-1.42801298,0.060252811,1,0,1,0.058453803,0.931818182,0.999299867,0.987712665,0.944,1,94.78628792,30
5686,SD NEGERI 2 BUNTAO,SD,Negeri,210,13,2,11,3500,4694,70,-2.970213,119.900405,-0.148359056,-0.232297788,1,0,1,0.131992458,0.875,0.995027562,0.987712665,0.896,0.9375,94.78521714,31
2234,SD NEGERI KALUARRANG,SD,Negeri,120,8,1,7,3500,4278,70,-5.225778,119.535845,-1.07546077,-0.018693389,1,0,1,0.075424261,0.920454545,0.995471549,0.987712665,0.936,0.96875,94.6139348,32
4181,UPT SD NEGERI  PELITA PINRANG,SD,Negeri,132,8,2,7,5500,4955,70,-3.335674,119.510557,-0.866759727,-0.030104499,1,0,1,0.082966688,0.920454545,0.994749003,0.980442053,0.936,0.9375,94.54712091,33
3877,SD NEGERI 7 MARANG,SD,Negeri,165,11,3,8,5500,4203,70,-5.298566,119.751911,-0.408091733,-0.145009658,1,0,1,0.10370836,0.909090909,0.995551595,0.980442053,0.912,0.90625,94.53829166,34
4109,SDKRISTEN MADA,SD,Swasta,0,5,1,0,1300,2904,70,-3.106596,119.737626,-2.078240581,0.136289884,2,0,1,0,1,0.996937986,0.995710339,0.96,0.96875,94.51597238,35
5695,SD NEGERI 2 Dende Piongan Napo,SD,Negeri,167,11,4,8,2200,846,70,-2.978575,119.899501,-0.277704132,-0.272534548,1,0,1,0.104965431,0.909090909,0.999134439,0.992438563,0.912,0.875,94.49900471,36
1624,SD NEGERI 16 ULUTEDONG,SD,Negeri,247,16,3,13,3500,2297,70,-5.423719,120.423978,0.394798567,-0.367821517,1,0,1,0.155248272,0.852272727,0.997585822,0.987712665,0.872,0.90625,94.4713582,37
2551,UPT SD NEGERI 24 BONTORAMBA,SD,Negeri,128,8,2,7,5500,3725,70,-5.656054,119.524801,-0.877847562,-0.029761295,1,0,1,0.080452546,0.920454545,0.996061753,0.980442053,0.936,0.9375,94.4569933,38
