No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
756,UPTD SD NEGERI 150 BARRU,SD,Negeri,235,16,2,13,5500,2590,73,-4.408799,119.632509,0.256917394,-0.265342754,2,0,0.869565217,0.147705845,0.852272727,0.997273111,0.980442053,0.872,0.9375,85.69647176,448
2728,UPT SD NEGERI 7 ARUNGKEKE,SD,Negeri,126,9,2,7,5500,2862,73,-5.579743,119.391975,-0.803770595,-0.033478962,2,0,0.869565217,0.079195475,0.920454545,0.996982812,0.980442053,0.928,0.9375,85.6865371,449
2615,UPT SD NEGERI 14 RUMBIA,SD,Negeri,106,8,1,7,1300,2115,73,-5.725764,119.632045,-1.248578096,-0.094814924,2,0,0.869565217,0.066624764,0.920454545,0.997780066,0.995710339,0.936,0.96875,85.67426015,450
7859,SMP NEGERI 3 ULAWENG,SMP,Negeri,217,16,5,10,2200,2134,73,-4.544105,120.222841,0.428190863,-0.419290664,2,0,0.869565217,0.136392206,0.886363636,0.997759788,0.992438563,0.872,0.84375,85.66347849,451
1047,SD NEGERI 223 SUMPANG MINANGAE,SD,Negeri,111,7,3,6,3500,812,73,-4.541979,120.222997,-0.871822561,-0.079553726,2,0,0.869565217,0.069767442,0.931818182,0.999170727,0.987712665,0.944,0.90625,85.66322816,452
2374,SD INPRES KALUARA,SD,Negeri,95,8,1,6,3500,3797,73,-5.250794,120.023066,-1.182917704,0.020011392,2,0,0.869565217,0.059710874,0.931818182,0.995984909,0.987712665,0.936,0.96875,85.65545411,453
7176,UPTD SMPN 4 Bantimurung,SMP,Negeri,765,39,6,30,900,4929,75,-5.003728,119.58873,4.510356685,-1.703431128,2,0,0.782608696,0.480829667,0.659090909,0.994776753,0.997164461,0.688,0.8125,85.63550727,454
1599,SD NEGERI 11 KALUMEME,SD,Negeri,268,14,5,8,900,4224,74,-5.561681,119.974478,0.325498217,-0.412477159,2,0,0.826086957,0.168447517,0.909090909,0.995529182,0.997164461,0.888,0.84375,85.61920331,455
3623,UPTD SDN 201 Inpres TammuTammu,SD,Negeri,275,9,3,11,2200,961,74,-5.002188,119.582476,0.032452472,-0.29332445,2,0,0.826086957,0.172847266,0.875,0.999011703,0.992438563,0.928,0.90625,85.59885211,456
3882,SD NEGERI 14 BONTOTENE,SD,Negeri,211,15,1,7,900,4619,74,-4.924489,119.806031,-0.624324282,-0.228952065,2,0,0.826086957,0.132620993,0.920454545,0.995107608,0.997164461,0.88,0.96875,85.55293754,457
4332,UPT SD NEGERI 222 PINRANG,SD,Negeri,125,7,3,7,5500,879,73,-3.217367,120.040415,-0.741490931,-0.061950398,2,0,0.869565217,0.078566939,0.920454545,0.999099219,0.980442053,0.944,0.90625,85.54698987,458
9161,SMKS PERSADA MAKASSAR,SMK,Swasta,105,6,1,0,23000,945,74,-5.155770656,119.4514816,0.031337322,7.62811711,2,0,0.826086957,0.065996229,1,0.999028779,0.916824197,0.952,0.96875,85.53509134,459
403,SD INKLUSI PERMATAKU,SD,Swasta,0,2,3,0,780,595,73,-5.157588,119.441929,-1.87210428,0.070115917,2,0,0.869565217,0,1,0.999402326,0.997600698,0.984,0.90625,85.53410537,460
3444,UPT SD NEGERI 006 BATUALANG,SD,Negeri,141,10,4,7,3500,1335,73,-2.54949,120.457881,-0.421507666,-0.193547922,2,0,0.869565217,0.088623507,0.920454545,0.998612542,0.987712665,0.92,0.875,85.51178271,461
3872,SD NEGERI 29 GUSUNGE,SD,Negeri,86,8,1,6,900,3793,73,-4.821238,119.319539,-1.379919301,-0.073913413,2,0,0.869565217,0.054054054,0.931818182,0.995989178,0.997164461,0.936,0.96875,85.46630066,462
5479,UPT SDN 5 MASANDA,SD,Negeri,72,7,0,6,1300,3667,73,-3.078274,119.838655,-1.469433057,0.043013639,2,0,0.869565217,0.045254557,0.931818182,0.996123655,0.995710339,0.944,1,85.43996532,463
7390,SMP INTEGRAL AL JIHAD BELOPA,SMP,Swasta,54,7,1,4,3500,3281,73,-2.609656,120.341318,-1.488447723,0.08178017,2,0,0.869565217,0.033940918,0.954545455,0.996535623,0.987712665,0.944,0.96875,85.39685972,464
8506,SMAN 13 LUWU,SMA,Negeri,362,28,5,18,900,4661,73,-2.610918,120.336375,1.953251264,-0.778755939,2,0,0.869565217,0.227529855,0.795454545,0.995062782,0.997164461,0.776,0.84375,85.37734192,465
3916,SD NEGERI 2 BALOBALOANG,SD,Negeri,104,5,1,8,900,3195,73,-5.246619,119.515101,-1.17230762,-0.03735026,2,0,0.869565217,0.065367693,0.909090909,0.996627409,0.997164461,0.96,0.96875,85.36881039,466
1148,SD NEGERI 18 BAJOE,SD,Negeri,212,10,3,7,2200,1942,74,-4.314249,120.282349,-0.524660152,-0.244886305,2,0,0.826086957,0.133249529,0.920454545,0.997964705,0.992438563,0.92,0.90625,85.36633002,467
5685,SD NEGERI 1 BUNTAO,SD,Negeri,184,10,4,10,5500,2002,73,-2.969035,119.895069,-0.063592333,-0.218399991,2,0,0.869565217,0.115650534,0.886363636,0.997900669,0.980442053,0.92,0.875,85.34630694,468
3447,UPT SD NEGERI 009 TARUE,SD,Negeri,140,8,5,7,2200,1790,73,-2.551899,120.456857,-0.369587499,-0.240729166,2,0,0.869565217,0.087994972,0.920454545,0.998126931,0.992438563,0.936,0.84375,85.34299299,469
1240,SD NEGERI 79 UJUNG TANAH,SD,Negeri,108,7,2,7,5500,1226,73,-4.956716,120.473526,-0.944278385,-0.002001598,2,0,0.869565217,0.067881835,0.920454545,0.998728875,0.980442053,0.944,0.9375,85.33063803,470
74,SD MUHAMMADIYAH I LP LAYANG,SD,Swasta,156,1,2,6,730,187,74,-5.1251,119.4228,-1.278113135,-0.428508561,2,0,0.826086957,0.09805154,0.931818182,0.999837774,0.997782463,0.992,0.9375,85.3104619,471
2346,SD INPRES GARENTONG,SD,Negeri,106,6,2,7,5500,3566,73,-5.283688,119.589018,-0.994738953,0.01491594,2,0,0.869565217,0.066624764,0.920454545,0.996231449,0.980442053,0.952,0.9375,85.27608504,472
4206,UPT SD NEGERI 258 PINRANG,SD,Negeri,103,11,1,7,1300,2964,73,-3.336574,120.243621,-1.118539018,-0.125229094,2,0,0.869565217,0.064739158,0.920454545,0.996873949,0.995710339,0.912,0.96875,85.27201235,473
8286,SMAS TRI DHARMA MAKASSAR,SMA,Swasta,164,1,0,8,1299,720,74,-5.136073308,119.4301598,0.193516805,7.11474314,2,0,0.826086957,0.103079824,0.909090909,0.999268916,0.995713974,0.992,1,85.26025569,474
7056,SMPIT Darul Quran Sela,SMP,Swasta,43,3,3,3,1300,4461,73,-4.82554,119.568665,-1.480947004,0.009143689,2,0,0.869565217,0.027027027,0.965909091,0.995276238,0.995710339,0.976,0.90625,85.22949102,475
744,UPTD SD NEGERI 138 BARRU,SD,Negeri,97,9,1,7,2200,2669,73,-4.41249,119.635898,-1.070994066,-0.042534953,2,0,0.869565217,0.060967945,0.920454545,0.997188796,0.992438563,0.928,0.96875,85.22931207,476
7570,SMP ISLAM DARUSSALAM,SMP,Swasta,55,5,1,5,3500,1895,73,-5.294435,119.747109,-1.503858837,0.085542262,2,0,0.869565217,0.034569453,0.943181818,0.998014867,0.987712665,0.96,0.96875,85.16668228,477
2798,SD NEGERI 573 PABATANG,SD,Negeri,0,8,2,0,3500,2777,73,-2.666167,120.196344,-1.728104565,0.110903164,2,0,0.869565217,0,1,0.99707353,0.987712665,0.936,0.9375,85.15530246,478
9016,SMKS MITRA UTAMA SULI,SMK,Swasta,33,9,6,11,900,3988,71,-2.603469,120.330649,-0.19011371,-0.326692038,2,0,0.956521739,0.020741672,0.875,0.995781059,0.997164461,0.928,0.8125,85.12779808,479
1093,SD INPRES 4/82 PACING,SD,Negeri,0,6,3,0,1300,1604,73,-4.347188,120.158403,-1.831008848,-0.003135464,2,0,0.869565217,0,1,0.998325444,0.995710339,0.952,0.90625,85.1124973,480
2160,SD NEGERI CAMBAYA,SD,Negeri,103,9,2,7,2200,1792,73,-5.466701,119.927869,-1.044685383,-0.133080482,2,0,0.869565217,0.064739158,0.920454545,0.998124797,0.992438563,0.928,0.9375,85.10043142,481
3218,SD NEGERI 204 KALAENA KIRI III,SD,Negeri,154,10,2,10,5500,1996,73,-2.588594,121.201919,-0.459118351,-0.104093093,2,0,0.869565217,0.096794469,0.886363636,0.997907072,0.980442053,0.92,0.9375,85.06961918,482
4720,SD Neg No 95 Jatie,SD,Negeri,118,10,3,7,2200,4929,73,-5.123871,120.253165,-0.650584479,-0.147671841,2,0,0.869565217,0.07416719,0.920454545,0.994776753,0.992438563,0.92,0.90625,85.04039202,483
1457,SD INPRES 3/77 TUNGKE,SD,Negeri,126,8,3,8,2200,4101,73,-4.267035,119.80886,-0.718934562,-0.493433554,2,0,0.869565217,0.079195475,0.909090909,0.995660457,0.992438563,0.936,0.90625,85.02237257,484
943,SD INPRES 6/75 WAJI,SD,Negeri,71,7,1,6,3500,2191,73,-4.546212,120.216078,-1.294295522,0.040405618,2,0,0.869565217,0.044626021,0.931818182,0.997698954,0.987712665,0.944,0.96875,85.00896136,485
4803,SD Neg No 75 Lembanna,SD,Negeri,107,8,3,7,900,2504,73,-5.130858,120.249151,-0.78537076,-0.152436052,2,0,0.869565217,0.0672533,0.920454545,0.997364896,0.997164461,0.936,0.90625,84.99662461,486
5156,UPT SD NEGERI 170  INPRES JENEMAEJA,SD,Negeri,74,8,1,6,5500,572,73,-5.452989,119.482462,-1.22306556,0.062307357,2,0,0.869565217,0.046511628,0.931818182,0.999426873,0.980442053,0.936,0.96875,84.98887065,487
8516,SMAN 5 LUWU TIMUR,SMA,Negeri,747,43,8,28,1300,3857,75,-2.596836,121.209382,4.921641456,-1.440816666,2,0,0.782608696,0.469516028,0.681818182,0.995920872,0.995710339,0.656,0.75,84.96800933,488
3951,SD NEGERI 9 BUTUNGBUTUNGAN,SD,Negeri,190,4,3,7,5500,4413,74,-4.93257,119.615219,-0.691422805,-0.053046804,2,0,0.826086957,0.119421747,0.920454545,0.995327467,0.980442053,0.968,0.90625,84.96662229,489
7119,SMPN 10 Satap Lk Tupabbiring,SMP,Negeri,43,11,2,3,1300,2343,73,-4.838647,119.576816,-1.272277281,-0.039849765,2,0,0.869565217,0.027027027,0.965909091,0.997536728,0.995710339,0.912,0.9375,84.92766306,490
3162,SD NEGERI 186 KEBUN RAMI,SD,Negeri,199,11,4,12,900,2871,73,-2.592562,121.199949,0.130082424,-0.357277858,2,0,0.869565217,0.125078567,0.863636364,0.996973206,0.997164461,0.912,0.875,84.92511531,491
2736,UPT SD NEGERI 14 KELARA,SD,Negeri,90,9,1,7,3500,4096,73,-5.701455,119.790848,-1.224156466,-0.045532568,2,0,0.869565217,0.056568196,0.920454545,0.995665793,0.987712665,0.928,0.96875,84.89539971,492
5056,SD NEGERI 32 UKKEE,SD,Negeri,125,10,3,8,1300,2598,73,-4.355822,119.915032,-0.567366345,-0.193545299,2,0,0.869565217,0.078566939,0.909090909,0.997264572,0.995710339,0.92,0.90625,84.89524725,493
4028,SD NEGERI 12 KAPOPOSANG,SD,Negeri,77,5,1,7,2200,4461,73,-5.110762,119.875833,-1.30639403,0.024292431,2,0,0.869565217,0.048397234,0.920454545,0.995276238,0.992438563,0.96,0.96875,84.87310837,494
7646,SMP NEGERI 2 PARANGLOE,SMP,Negeri,149,11,4,9,1300,976,73,-5.286102,119.746373,-0.225597734,-0.28481625,2,0,0.869565217,0.093651791,0.897727273,0.998995694,0.995710339,0.912,0.875,84.8016353,495
4602,SD NEGERI 5 KULO,SD,Negeri,101,8,3,7,900,2840,73,-3.86692,119.94425,-0.874008991,-0.498079086,2,0,0.869565217,0.063482087,0.920454545,0.997006292,0.997164461,0.936,0.90625,84.786976,496
1219,SD INPRES 12/79 PANYIWI,SD,Negeri,76,7,2,6,5500,957,73,-4.88548,120.061276,-1.105956409,0.025375828,2,0,0.869565217,0.047768699,0.931818182,0.999015972,0.980442053,0.944,0.9375,84.77617957,497
1375,SD INPRES 5/81 LEMOAPE,SD,Negeri,189,9,3,7,900,1342,74,-4.889073,120.225546,-0.644791616,-0.249043168,2,0,0.826086957,0.118793212,0.920454545,0.998605071,0.997164461,0.928,0.90625,84.77251149,498
1444,SD INPRES 3/77 PACCING,SD,Negeri,97,7,3,7,3500,561,73,-4.30099,120.051172,-0.836036018,-0.090838566,2,0,0.869565217,0.060967945,0.920454545,0.999438613,0.987712665,0.944,0.90625,84.71607497,499
504,SD INPRES PALINGANG,SD,Negeri,175,16,5,9,2200,3721,73,-5.524613,119.944454,0.241602249,-0.376657694,2,0,0.869565217,0.109993715,0.897727273,0.996066022,0.992438563,0.872,0.84375,84.71536152,500
8566,SMAN 14 MAROS,SMA,Negeri,419,32,7,15,3500,4577,74,-4.993163,119.589538,2.417920234,-0.849623276,2,0,0.826086957,0.26335638,0.829545455,0.995152434,0.987712665,0.744,0.78125,84.67445797,501
1802,SD NEGERI 212 BONTOBANGUN,SD,Negeri,106,9,1,9,900,586,73,-5.364027,119.931035,-0.91024294,-0.105909139,2,0,0.869565217,0.066624764,0.897727273,0.999411931,0.997164461,0.928,0.96875,84.66506497,502
1907,SD NEGERI 23 KAJUBULO,SD,Negeri,69,6,2,6,3500,2666,73,-3.552182,119.76329,-1.259565448,-0.339606972,2,0,0.869565217,0.04336895,0.931818182,0.997191998,0.987712665,0.952,0.9375,84.66107917,503
4285,UPT SD NEGERI 102 PINRANG,SD,Negeri,200,11,1,9,900,2297,74,-3.688663,119.688366,-0.553501292,-0.175112672,2,0,0.826086957,0.125707102,0.897727273,0.997585822,0.997164461,0.912,0.96875,84.64783466,504
3750,UPTD SDN 206 INPRES BASSIKALLING,SD,Negeri,72,6,2,6,5500,4328,73,-5.008163,119.579499,-1.160280099,0.050671471,2,0,0.869565217,0.045254557,0.931818182,0.995418185,0.980442053,0.952,0.9375,84.62036996,505
3753,UPTD SDN 242 INPRES DAMMA,SD,Negeri,208,10,2,9,900,3145,74,-5.011535,119.589393,-0.419424258,-0.211735051,2,0,0.826086957,0.130735387,0.897727273,0.996680772,0.997164461,0.92,0.9375,84.61751512,506
3737,UPTD SDN 62 PALISI,SD,Negeri,393,16,3,8,1300,1237,76,-4.993378,119.586517,0.462648783,-0.406945096,2,0,0.739130435,0.247014456,0.909090909,0.998717135,0.995710339,0.872,0.90625,84.60283997,507
2447,SD INPRES LANGKOWA,SD,Negeri,70,6,2,6,5500,3551,73,-5.041212,119.788855,-1.165961306,0.0502185,2,0,0.869565217,0.043997486,0.931818182,0.996247459,0.980442053,0.952,0.9375,84.58083667,508
3324,UPT SD NEGERI 206 LIMBONG WARA,SD,Negeri,71,9,2,6,2200,1204,73,-2.5403,120.442472,-1.057960129,-0.062053735,2,0,0.869565217,0.044626021,0.931818182,0.998752355,0.992438563,0.928,0.9375,84.55686331,509
4063,UPT SD INPRES KALOSI,SD,Negeri,69,10,0,7,1300,4540,73,-3.238023,120.216915,-1.264739834,-0.001131505,2,0,0.869565217,0.04336895,0.920454545,0.995191923,0.995710339,0.92,1,84.54359121,510
1591,SD NEGERI 79 LAJAE,SD,Negeri,172,8,2,7,900,4871,74,-5.238081,120.149008,-0.755472232,-0.131814673,2,0,0.826086957,0.108108108,0.920454545,0.994838655,0.997164461,0.936,0.9375,84.53892092,511
4071,UPT SD NEGERI 148 PINRANG,SD,Negeri,183,11,2,7,5500,1938,74,-3.117237,120.280296,-0.547510113,-0.086711251,2,0,0.826086957,0.115021999,0.920454545,0.997968974,0.980442053,0.912,0.9375,84.53716602,512
4539,SD NEGERI 10 TANRUTEDONG,SD,Negeri,178,9,2,7,3500,4926,74,-3.503121,119.717837,-0.669871489,-0.095149212,2,0,0.826086957,0.111879321,0.920454545,0.994779954,0.987712665,0.928,0.9375,84.53585272,513
7817,SMP ALARAF BONE,SMP,Swasta,29,6,3,3,3500,934,73,-4.538405,120.223251,-1.361550051,0.022584525,2,0,0.869565217,0.01822753,0.965909091,0.999040519,0.987712665,0.952,0.90625,84.52194436,514
2778,UPT SD NEGERI 13 BATANG,SD,Negeri,100,8,3,7,5500,4314,73,-5.60402,119.74836,-0.981317111,-0.439837774,2,0,0.869565217,0.062853551,0.920454545,0.995433127,0.980442053,0.936,0.90625,84.51258947,515
6781,UPT SMPN 1 MALIMBONG BALEPE,SMP,Negeri,192,16,3,12,3500,2185,73,-3.0687,119.830095,0.20520372,-0.318678611,2,0,0.869565217,0.120678818,0.863636364,0.997705357,0.987712665,0.872,0.90625,84.5093907,516
7315,SMP NEGERI 1 BURAU,SMP,Negeri,345,29,9,27,5500,2859,71,-2.587719,121.201757,3.273401726,-1.015514681,2,0,0.956521739,0.216844752,0.693181818,0.996986013,0.980442053,0.768,0.71875,84.48881698,517
1204,SD INPRES 7/83 TANETE,SD,Negeri,99,8,3,7,5500,4224,73,-4.435913,119.777049,-0.763699831,-0.049353476,2,0,0.869565217,0.062225016,0.920454545,0.995529182,0.980442053,0.936,0.90625,84.48263233,518
6866,SMP MUHAMMADIYAH WALATTASI,SMP,Swasta,108,6,2,9,3500,2298,73,-4.349832,119.90803,-0.931474663,-0.406340808,2,0,0.869565217,0.067881835,0.897727273,0.997584755,0.987712665,0.952,0.9375,84.48187778,519
8003,UPT SPF SMP NEGERI 41 SATU ATAP MAKASSAR,SMP,Negeri,79,14,3,5,2810,1450,73,-5.1351,119.4066,-0.797105796,-0.524882033,2,0,0.869565217,0.049654305,0.943181818,0.998489805,0.990221027,0.888,0.90625,84.46671976,520
3440,UPT SD NEGERI 002 TOKATIMBANG,SD,Negeri,138,11,5,8,3500,1552,73,-2.544698,120.443111,-0.151064957,-0.263004407,2,0,0.869565217,0.086737901,0.909090909,0.998380943,0.987712665,0.912,0.84375,84.46358855,521
2924,SD NEGERI 429 SAGENAE,SD,Negeri,92,7,3,7,2200,4714,73,-3.359231,120.186471,-0.858637072,-0.100500924,2,0,0.869565217,0.057825267,0.920454545,0.995006217,0.992438563,0.944,0.90625,84.46313581,522
7863,SMPN SATAP 4 PONRE,SMP,Negeri,29,10,2,3,3500,3112,73,-4.552119,120.213461,-1.334622527,0.029347603,2,0,0.869565217,0.01822753,0.965909091,0.996715993,0.987712665,0.92,0.9375,84.43902162,523
4525,SD NEGERI 5 BETAO,SD,Negeri,85,7,3,7,900,1143,73,-3.350937,119.964702,-1.039837459,-0.17703533,2,0,0.869565217,0.053425519,0.920454545,0.998817458,0.997164461,0.944,0.90625,84.4078271,524
6892,SMP NEGERI 5 MARIORIAWA,SMP,Negeri,158,17,4,9,3500,3131,73,-4.35902,119.899836,0.094801397,-0.310389449,2,0,0.869565217,0.099308611,0.897727273,0.996695714,0.987712665,0.864,0.875,84.38561791,525
9079,SMKN 7 BULUKUMBA,SMK,Negeri,189,26,7,19,2200,3600,71,-5.547215,120.193733,1.774755668,-0.748905903,2,0,0.956521739,0.118793212,0.784090909,0.996195162,0.992438563,0.792,0.78125,84.38256954,526
1468,SD NEGERI 148 SELLI,SD,Negeri,143,7,4,10,2200,2652,73,-4.801302,120.339146,-0.341225095,-0.224795989,2,0,0.869565217,0.089880578,0.886363636,0.997206939,0.992438563,0.944,0.875,84.38112326,527
4374,UPT SD NEGERI 184 PINRANG,SD,Negeri,112,7,4,8,900,3271,73,-3.265322,120.205337,-0.73362237,-0.246882086,2,0,0.869565217,0.070395977,0.909090909,0.996546296,0.997164461,0.944,0.875,84.37667441,528
1105,SD NEGERI 41 MALLARI,SD,Negeri,115,8,4,8,900,3513,73,-4.579055,120.030156,-0.53132226,-0.216775833,2,0,0.869565217,0.072281584,0.909090909,0.996288015,0.997164461,0.936,0.875,84.37611011,529
3580,UPTD SDN 181 INPRES KAMPUNG TANGNGA,SD,Negeri,78,7,2,7,3500,2756,73,-5.006196,119.588869,-1.043301243,-0.025256625,2,0,0.869565217,0.04902577,0.920454545,0.997095943,0.987712665,0.944,0.9375,84.37057493,530
2803,SD NEGERI 66 DANGKANG,SD,Negeri,113,7,4,8,1300,4073,73,-2.912618,120.238094,-0.578676261,-0.194635098,2,0,0.869565217,0.071024513,0.909090909,0.995690341,0.995710339,0.944,0.875,84.36571275,531
2930,SD NEGERI 107 SETIAREJO,SD,Negeri,160,13,3,11,1300,1161,73,-3.28385,121.125546,-0.261141466,-0.337873647,2,0,0.869565217,0.100565682,0.875,0.998798248,0.995710339,0.896,0.90625,84.34624705,532
1552,SD NEGERI 189 BARUGAE,SD,Negeri,222,10,4,9,3500,566,74,-5.295619,120.180359,-0.043085521,-0.264595827,2,0,0.826086957,0.139534884,0.897727273,0.999433277,0.987712665,0.92,0.875,84.34600097,533
2162,SD NEGERI KAMPUNG PARANG,SD,Negeri,282,15,3,7,1300,3683,75,-5.361902,120.093885,-0.091387459,-0.348819569,2,0,0.782608696,0.177247014,0.920454545,0.996106578,0.995710339,0.88,0.90625,84.31856569,534
5698,SD NEGERI 5 Dende Piongan Napo,SD,Negeri,194,15,4,12,3500,2175,73,-2.973579,119.904052,0.323013562,-0.352754366,2,0,0.869565217,0.121935889,0.863636364,0.99771603,0.987712665,0.88,0.875,84.31018453,535
3234,SD NEGERI 253 AMASI,SD,Negeri,224,17,2,15,3500,3418,73,-2.59288,121.212034,0.404263111,-0.337630338,2,0,0.869565217,0.140791955,0.829545455,0.996389406,0.987712665,0.864,0.9375,84.30993206,536
4793,SD Neg No 239 Laha  Laha,SD,Negeri,69,6,2,7,900,1901,73,-5.128477,120.261573,-1.137529381,-0.062952702,2,0,0.869565217,0.04336895,0.920454545,0.998008463,0.997164461,0.952,0.9375,84.30186539,537
2272,SD NEGERI KALUKUANG,SD,Negeri,379,18,4,12,3500,4741,75,-5.455526,119.630094,0.983135017,-0.475556235,2,0,0.782608696,0.238214959,0.863636364,0.9949774,0.987712665,0.856,0.875,84.29724956,538
4661,SD Neg No 132 Bulujampi,SD,Negeri,98,9,2,8,3500,4624,73,-5.133481,120.250263,-0.821809194,-0.066809155,2,0,0.869565217,0.06159648,0.909090909,0.995102272,0.987712665,0.928,0.9375,84.29130608,539
1434,SD NEGERI 247 PADATUO,SD,Negeri,69,8,1,7,3500,4258,73,-4.395504,119.990535,-1.178421494,0.020227905,2,0,0.869565217,0.04336895,0.920454545,0.995492895,0.987712665,0.936,0.96875,84.28763813,540
3015,SD NEGERI 32 MARINDING,SD,Negeri,87,8,3,7,900,4174,73,-2.778699,120.123647,-0.986848306,-0.180837781,2,0,0.869565217,0.05468259,0.920454545,0.995582546,0.997164461,0.936,0.90625,84.27901944,541
2315,SD NEGERI PARANGBUGISI,SD,Negeri,72,6,2,7,3500,2337,73,-5.010076,119.993576,-1.105292147,-0.010237365,2,0,0.869565217,0.045254557,0.920454545,0.997543131,0.987712665,0.952,0.9375,84.27809288,542
2920,SD NEGERI 269 SALUGALOTE,SD,Negeri,152,9,1,7,1300,801,74,-2.678976,120.626209,-1.05665115,-0.128285,2,0,0.826086957,0.095537398,0.920454545,0.999182467,0.995710339,0.928,0.96875,84.26626873,543
5032,SD NEGERI 75 LEBBAE,SD,Negeri,62,8,1,7,1300,1016,73,-4.354548,119.907306,-1.219570255,-0.031341309,2,0,0.869565217,0.038969202,0.920454545,0.998953003,0.995710339,0.936,0.96875,84.25847429,544
2443,SD INPRES BONTOKURA,SD,Negeri,74,7,2,7,2200,3984,73,-5.462894,119.946687,-1.065117216,-0.045022174,2,0,0.869565217,0.046511628,0.920454545,0.995785328,0.992438563,0.944,0.9375,84.25052204,545
1960,SD NEGERI 59 GAROTIN,SD,Negeri,134,13,1,11,900,520,73,-3.557269,119.771581,-0.503037196,-0.199605316,2,0,0.869565217,0.084223759,0.875,0.999482371,0.997164461,0.896,0.96875,84.23996799,546
2103,SD INPRES TAMARUNANG,SD,Negeri,444,21,3,11,1300,4493,76,-5.438939,119.671995,0.940500055,-0.560393959,2,0,0.739130435,0.279069767,0.875,0.995242085,0.995710339,0.832,0.90625,84.23931656,547
930,SD INPRES 12/79 PALONGKI,SD,Negeri,69,7,3,6,2200,3677,73,-4.547481,120.227151,-0.995318991,-0.074888741,2,0,0.869565217,0.04336895,0.931818182,0.996112982,0.992438563,0.944,0.90625,84.23216297,548
1616,SDN 7 MATAJANG,SD,Negeri,431,19,5,15,900,3858,75,-5.623436,120.434006,1.525897525,-0.66146191,2,0,0.782608696,0.270898806,0.829545455,0.995919805,0.997164461,0.848,0.84375,84.22460201,549
2872,SD NEGERI 482 MALAKA,SD,Negeri,202,12,3,8,5500,1893,74,-2.513595,120.030594,-0.218605336,-0.17196831,2,0,0.826086957,0.126964173,0.909090909,0.998017002,0.980442053,0.904,0.90625,84.22456859,550
5208,UPT SD NEGERI 102 INPRES BONTOKADATTO,SD,Negeri,176,9,2,8,1300,1359,74,-5.461299,119.4956,-0.701722094,-0.543078132,2,0,0.826086957,0.11062225,0.909090909,0.998586927,0.995710339,0.928,0.9375,84.18962534,551
7454,SMP SATAP SALU SIMBUANG,SMP,Negeri,0,8,5,0,1300,2409,73,-2.597494,120.336621,-1.275285176,-0.076107177,2,0,0.869565217,0,1,0.997466287,0.995710339,0.936,0.84375,84.18823524,552
4543,SD NEGERI 12 TANRUTEDONG,SD,Negeri,82,8,3,7,900,2230,73,-3.369647,120.158289,-0.853172093,-0.140877133,2,0,0.869565217,0.051539912,0.920454545,0.99765733,0.997164461,0.936,0.90625,84.18023743,553
6783,UPT SMPN SATAP 3 MALIMBONG BALEPE,SMP,Negeri,23,5,2,4,3500,4007,73,-3.063422,119.832634,-1.50571532,0.076157952,2,0,0.869565217,0.014456317,0.954545455,0.995760781,0.987712665,0.96,0.9375,84.17394036,554
7828,SMP AMIR ISLAM PANYULA,SMP,Swasta,181,12,3,13,900,1978,73,-4.539327,120.214262,0.043247771,-0.331241159,2,0,0.869565217,0.113764928,0.852272727,0.997926283,0.997164461,0.904,0.90625,84.13336762,555
3416,UPT SD NEGERI 218 TONDO KURRA,SD,Negeri,64,8,1,7,3500,4065,73,-2.544863,120.449221,-1.191982264,0.022599645,2,0,0.869565217,0.040226273,0.920454545,0.995698879,0.987712665,0.936,0.96875,84.12907871,556
3091,SD NEGERI 225 KAREBBE,SD,Negeri,194,10,2,9,2200,2744,74,-2.597617,121.211799,-0.444594456,-0.174610302,2,0,0.826086957,0.121935889,0.897727273,0.99710875,0.992438563,0.92,0.9375,84.11480133,557
2579,UPT SD NEGERI 23 BANGKALA,SD,Negeri,87,11,4,6,2200,3528,73,-5.722318,119.401425,-0.754169573,-0.222717321,2,0,0.869565217,0.05468259,0.931818182,0.996272006,0.992438563,0.912,0.875,84.1092185,558
2842,SD NEGERI 629 BUNTU PASIK,SD,Negeri,46,8,1,6,2200,3397,73,-2.828044,120.848236,-1.475078704,-0.022321093,2,0,0.869565217,0.028912634,0.931818182,0.996411819,0.992438563,0.936,0.96875,84.10464526,559
2300,SD INPRES MALINO,SD,Negeri,138,5,1,7,1300,3076,74,-5.304439,119.612306,-1.140052921,-0.029809284,2,0,0.826086957,0.086737901,0.920454545,0.996754415,0.995710339,0.96,0.96875,84.09175379,560
4191,UPT SD NEGERI 122 PINRANG,SD,Negeri,168,9,3,7,1300,544,74,-3.23133,120.02228,-0.633968407,-0.542052838,2,0,0.826086957,0.105593966,0.920454545,0.999456757,0.995710339,0.928,0.90625,84.08951993,561
6702,SMPN 3 DENPINA SATAP,SMP,Negeri,56,7,5,4,1300,4399,73,-2.972798,119.902197,-0.871933997,-0.150437132,2,0,0.869565217,0.035197989,0.954545455,0.995342409,0.995710339,0.944,0.84375,84.08812276,562
