ranking,Nama Sekolah,siswa_total,skor_akreditasi,jumlah_ruangan,wilayah_total,jumlah_guru,staf_total,daya_listrik,Lintang,Bujur,pca1,pca2,dbscan_kluster,kmeans_klaster
52,UPTD SDN 242 INPRES DAMMA,208,74,9,3145,10,2,900,-5.011535,119.589393,4.109452141,1.106385956,0,2
53,SD NEGERI 5 BOWONG,188,75,8,817,8,3,1300,-5.216032,119.312657,-1.161047221,-0.095235419,0,0
54,SD NEGERI 16 BUCINRI,177,75,9,1109,10,3,1300,-5.009446,119.800897,1.004430257,-0.403761642,0,0
55,SD NEGERI 4 TALA,163,80,9,1268,12,2,900,-5.286022,119.327935,0.690315179,0.339781397,0,0
56,SD NEGERI 24 KALIBONE,194,70,8,1040,8,2,1300,-5.043912,119.491488,6.934139871,-1.838807524,0,2
57,SD NEGERI 29 LIMBUA,208,76,9,2054,12,2,900,-5.352413,119.493932,1.658413417,-0.535468044,0,0
58,UPT SD NEGERI 143 PINRANG,182,81,7,1123,7,2,1300,-3.191109,119.67485,0.049538789,-0.107899243,0,0
59,UPT SD NEGERI 139 PINRANG,186,75,9,2802,10,3,900,-3.42882,119.513247,-0.983387338,-0.026664976,0,0
60,UPT SD NEGERI 122 PINRANG,168,74,7,544,9,3,1300,-3.23133,120.02228,-0.884525017,-0.015981668,0,0
61,UPT SD NEGERI 177 PINRANG,192,82,8,1975,8,3,2200,-3.772152,119.923733,0.110705889,0.247484636,0,0
62,UPT SD NEGERI 66 PINRANG,188,73,7,1824,8,1,900,-3.566718,119.61481,0.444095001,-0.610412369,0,0
63,UPT SD NEGERI 102 PINRANG,200,74,9,2297,11,1,900,-3.688663,119.688366,0.097530154,-0.662135978,0,0
64,SD NEGERI 4 OTTING,202,78,9,2609,9,1,2200,-3.754788,119.681512,1.069531869,-0.928382495,0,0
65,SD NEGERI 5 BILA,188,73,9,3341,9,3,1300,-3.611282,119.820447,1.692668826,-1.060620475,0,0
66,SD NEGERI 6 AMPARITA,199,80,8,2534,9,3,1300,-3.50955,120.054268,2.429793642,2.814714869,0,1
67,UPT SD NEGERI 196 INPRES BONTOMAJANNANG,198,75,8,2332,9,2,2200,-5.447298,119.484248,1.978433426,-1.095832026,0,0
68,UPT SD NEGERI 91 SOREYANG,186,75,7,1859,8,1,2200,-5.447546,119.484169,1.563957206,-0.963444019,0,0
69,UPT SD NEGERI 97 TAMASONGO,186,79,7,1962,9,3,2200,-5.448943,119.498141,1.968506234,2.957442432,0,1
70,UPT SD NEGERI 102 INPRES BONTOKADATTO,176,74,8,1359,9,2,1300,-5.461299,119.4956,0.072768251,-0.631036,0,0
71,SD NEGERI 3 BUNTAO,184,81,9,1884,9,3,1300,-2.974904,119.896038,-0.352667283,-0.545604111,0,0
72,SD NEGERI 6 SESEAN SULOARA,163,82,9,1455,12,3,900,-2.962351,119.894061,-1.537125964,-0.276227063,0,0
73,SDA 9 TAE TEMPE,183,82,7,2047,10,1,900,-3.96921,120.18978,1.549743005,3.282966584,0,1
74,SD NEGERI 232 TELLESANG,178,77,8,2803,8,3,900,-3.63019,120.332291,-0.869031058,3.529328374,0,0
75,SD NEGERI 23 ASSORAJANG,163,80,7,1512,7,2,1300,-4.272996,119.601346,0.078555341,3.456318012,0,1
76,SD NEGERI 190 BALLERE,167,80,7,1394,6,2,1300,-4.192556,119.636387,-0.112601604,-0.439244274,0,0
77,SDIT AL WAHDAH,164,76,6,1005,8,2,2200,-6.214899,120.702473,1.023351485,-0.460226984,0,0
78,SMP ISLAM AR RAHMAH PANGKAJENE,176,75,4,1982,8,1,2200,-3.79265,119.856894,0.299365229,-0.662627363,0,0
79,SMPIT UMAR BIN KHATTAB,172,76,8,2646,9,2,900,-4.825177,119.567977,0.395042478,-0.317750482,0,0
80,SMP ISLAM DARUL ISTIQAMAH LOEHA,215,75,8,2510,6,2,900,-2.588754,121.201866,0.636161147,-0.380648585,0,0
81,SMP CITRA MULIA MAKASSAR,163,73,6,1400,11,2,1300,-5.155599049,119.4604727,0.077945329,-0.515993619,0,0
82,SMAS TRI DHARMA MAKASSAR,164,74,8,720,1,0,1299,-5.136073308,119.4301598,1.082068137,-0.237569853,0,0
83,SMAS PESANTREN PUTRI YATAMA MANDIRI,169,79,8,1676,8,1,1300,-5.285619,119.738387,-0.201361015,0.048495,0,0
