No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
1,UPT SPF SD INPRES BADDOKA,SD,Negeri,337,18,3,13,1300,2808,81,509153567,1195133502
2,UPT SPF SD INPRES BAKUNG 1,SD,Negeri,243,15,4,8,900,3000,84,5073361105,1195294071
3,UPT SPF SD INPRES BAKUNG 2,SD,Negeri,269,16,5,8,4400,2500,84,5079140801,119529189
4,UPT SPF SD INPRES DAYA,SD,Negeri,498,28,3,13,4640,1200,87,5112902708,119512008
5,UPT SPF SD INPRES KALANG TUBUNG 2,SD,Negeri,195,15,1,8,1300,1505,81,5080894528,119536749
6,UPT SPF SD INPRES KALANGTUBUNG 1,SD,Negeri,311,16,4,8,2297,1650,82,5093886758,1195353756
7,UPT SPF SD INPRES LAELAE 2,SD,Negeri,162,14,6,7,900,1200,82,506840601,1194730003
8,UPT SPF SD INPRES LAIKANG,SD,Negeri,654,23,6,15,1300,2542,85,5095831785,1195326686
9,UPT SPF SD INPRES MANDAI,SD,Negeri,339,16,4,8,5000,1430,86,5080546121,1195212768
10,UPT SPF SD INPRES MANGGA TIGA,SD,Negeri,509,25,6,11,2200,1925,92,5123521849,1195311511
11,UPT SPF SD INPRES MANNURUKI 1,SD,Negeri,353,21,4,9,1400,3250,88,5115444145,1195318763
12,UPT SPF SD INPRES MANNURUKI 2,SD,Negeri,327,19,3,8,1300,2640,82,5167546849,1194450746
13,UPT SPF SD INPRES PACCERAKKANG,SD,Negeri,686,33,2,17,4400,2229,91,5119901646,1195224188
14,UPT SPF SD INPRES PAGANDONGAN 1,SD,Negeri,346,16,5,8,2200,4900,79,5079058634,119493463
15,UPT SPF SD INPRES PAGANDONGAN 2,SD,Negeri,232,11,2,7,950,2800,82,5079037261,1194934201
16,UPT SPF SD INPRES PAI 1,SD,Negeri,461,24,5,9,1300,1600,79,5079015887,1194933665
17,UPT SPF SD INPRES PAI 2,SD,Negeri,299,17,6,7,1400,3300,83,5068459444,1194730432
18,UPT SPF SD INPRES PAJJAIANG,SD,Negeri,336,16,6,8,900,1700,88,5103702514,1195224374
19,UPT SPF SD INPRES PAJJAIANG 2,SD,Negeri,639,27,3,14,1300,2580,86,5106026038,1195346741
20,UPT SPF SD INPRES SUDIANG,SD,Negeri,306,18,5,7,900,1460,82,5080471314,1195212554
21,UPT SPF SD INPRES TANGKALA 1,SD,Negeri,246,16,2,11,1300,1875,83,5092173042,1195247314
22,UPT SPF SD INPRES TANGKALA II,SD,Negeri,561,33,4,12,2200,2100,86,5103024178,1195352032
23,UPT SPF SD NEGERI BADDOKA,SD,Negeri,506,25,4,10,1300,1920,85,5104490842,1194916881
24,UPT SPF SD NEGERI BATUTAMBUNG,SD,Negeri,207,14,3,10,1200,3276,85,5168091762,1194452122
25,UPT SPF SD NEGERI BULUROKENG,SD,Negeri,702,32,3,14,1300,2808,85,507759872,1194991775
26,UPT SPF SD NEGERI BULUROKENG 1,SD,Negeri,438,21,3,18,2200,4900,93,5079015887,1194934523
27,UPT SPF SD NEGERI DAYA 1,SD,Negeri,392,17,2,9,899,3588,85,5078043064,1194935378
28,UPT SPF SD NEGERI DAYA II,SD,Negeri,525,23,4,11,2300,1068,84,511077139,1195107381
29,UPT SPF SD NEGERI MALEWANG,SD,Negeri,141,11,2,10,2200,2120,82,5066316143,119526831
30,UPT SPF SD NEGERI MANDAI,SD,Negeri,383,18,4,9,5500,1650,81,5080556808,1195213627
31,UPT SPF SD NEGERI Nusa Harapan Permai,SD,Negeri,225,13,3,6,1300,1550,80,5146391558,1195178996
32,UPT SPF SD NEGERI PACCERAKKANG,SD,Negeri,341,15,4,7,2500,2021,81,5104469469,1194916666
33,UPT SPF SD NEGERI PAI,SD,Negeri,763,25,5,19,1300,2438,85,5078507754,1195220973
34,UPT SPF SD NEGERI PAJJAIANG,SD,Negeri,326,14,6,7,5500,2400,83,5105193123,1195224369
35,UPT SPF SD NEGERI SIPALA I MAKASSAR,SD,Negeri,305,16,7,12,900,1466,85,0,0
36,UPT SPF SD NEGERI SIPALA II MAKASSAR,SD,Negeri,234,15,3,15,900,2336,82,5135920622,1195217272
37,UPT SPF SD NEGERI SUDIANG,SD,Negeri,274,16,2,11,2200,2150,85,5104533587,1194916023
38,SD ABDURRAHMAN BIN AUF,SD,Swasta,122,11,2,7,3500,720,91,5112882141,1195193603
39,SD BERBANTUAN MUHAMMADIYAH II BERUA MAKASSAR,SD,Swasta,238,11,2,11,2200,5243,90,5116098917,1195190871
40,SD BUQATUN MUBARAKAH,SD,Swasta,333,14,3,14,3300,2160,88,5080522075,1195124564
41,SD ISLAM AL AZHAR 68 SUMMARECON MUTIARA MAKASSAR,SD,Swasta,76,9,2,9,3299,2790,83,5071635571,1195019134
42,SD ISLAM CENDEKIA MAKASSAR,SD,Swasta,65,10,1,7,10598,8100,85,5092755592,1195127875
43,SD ISLAM TERPADU AL AKHYAR,SD,Swasta,443,26,7,21,6000,4200,93,5081154448,1195315116
44,SD ISLAM TERPADU AL INSYIRAH,SD,Swasta,399,19,2,21,52500,899,86,5124268435,1195231868
45,SD ISLAM TERPADU INSAN CENDEKIA,SD,Swasta,48,8,1,8,1300,535,74,511210636,1195181215
46,SD IT BOMBANG TALLUNA BIRA,SD,Swasta,107,11,3,7,7700,996,88,5079805721,1194918212
47,SD IT IMAM SYAFI I,SD,Swasta,167,12,2,7,2200,182,79,5083420262,1195330994
48,SD LANIANG,SD,Swasta,153,7,1,9,5000,4500,91,5135976318,1195168483
49,SD PLUS AL ASHRI,SD,Swasta,467,28,8,27,5000,558,94,5130448065,1195117341
50,SD BUNDA KASIH,SD,Swasta,82,4,2,9,1300,2321,75,5074139377,1195264062
51,SD ISLAM TERPADU BUDI UTOMO,SD,Swasta,172,10,1,9,1300,1350,85,5157430054,1194545831
52,SDIT DARUSSALAM,SD,Swasta,397,27,4,21,2300,3500,85,5070242884,1195259016
53,SDIT DURUUSUL QURAN ISLAMIC SCHOOL,SD,Swasta,74,3,0,9,5500,300,71,5141658022,1195170702
54,SDIT IBNUL QAYYIM MAKASSAR,SD,Swasta,341,19,4,14,3300,240,72,5092915319,1195287511
55,UPT SPF SD INPRES LAYANG BERTINGKAT,SD,Negeri,628,31,6,17,2100,1500,82,51233,1194197
56,UPT SPF SD INPRES LAYANG TUA I,SD,Negeri,266,18,9,7,3100,1116,90,51215,1194214
57,UPT SPF SD INPRES LAYANG TUA II,SD,Negeri,162,8,6,7,3111,1116,88,51216,1194216
58,UPT SPF SD NEGERI BARAYA I,SD,Negeri,347,17,7,8,1800,1050,91,5128,119423
59,UPT SPF SD NEGERI BARAYA II,SD,Negeri,292,14,3,7,780,400,83,51281,1194233
60,UPT SPF SD NEGERI GADDONG 2,SD,Negeri,247,15,4,11,1020,250,82,51303,1194169
61,UPT SPF SD NEGERI LAYANG IV72,SD,Negeri,110,8,1,6,800,425,82,51241,1194209
62,UPT SPF SD NEGERI PONGTIKU 1,SD,Negeri,347,17,3,9,3020,1872,91,51315,1194305
63,UPT SPF SD NEGERI PONGTIKU 2,SD,Negeri,321,15,8,8,3020,1872,91,51315,1194304
64,SD AL MUBARAK CENDEKIA ISLAMIC SCHOOL,SD,Swasta,219,18,2,13,1200,766,80,0,0
65,SD ANAK INDONESIA,SD,Swasta,100,6,1,9,620,300,75,51367,1194164
66,SD BAMBINI,SD,Swasta,417,26,2,30,1200,484,91,51309,1194221
67,SD FRATER TERATAI I,SD,Swasta,92,9,3,8,6710,1776,92,51335,1194201
68,SD FRATER TERATAI II,SD,Swasta,45,9,2,8,7800,2304,87,51288,1194196
69,SD KRISTEN IPEKA,SD,Swasta,312,21,1,16,5520,2970,92,51289,1194187
70,SD KRISTEN KALAM KUDUS,SD,Swasta,147,8,3,9,3690,1250,91,51341,1194175
71,SD KRISTEN YHS,SD,Swasta,134,12,2,15,4100,1498,88,51339,1194199
72,SD MUHAMMADIYAH 2 LP LAYANG,SD,Swasta,31,2,1,6,750,280,77,5121,119419
73,SD MUHAMMADIYAH I BONTOALA,SD,Swasta,150,10,2,7,1200,685,83,51271,1194182
74,SD MUHAMMADIYAH I LP LAYANG,SD,Swasta,156,1,2,6,730,187,74,51251,1194228
75,SD MUHAMMADIYAH MIMBAR,SD,Swasta,220,9,3,8,1200,374,81,51315,1194308
76,UPT SPF SD INPRES BAWAKARAENG,SD,Negeri,270,17,1,11,5500,4320,75,51353,1194235
77,UPT SPF SD INPRES BERTINGKAT BARA BARAYA II,SD,Negeri,683,39,3,19,3000,1926,83,51426,1194327
78,UPT SPF SD INPRES MACCINI,SD,Negeri,488,25,2,13,2500,1461,84,51399,1194287
79,UPT SPF SD INPRES MACCINI 11,SD,Negeri,440,27,3,11,3200,2552,85,51358,1194303
80,UPT SPF SD INPRES MONGISIDI,SD,Negeri,200,11,1,7,1200,580,85,51476,119418
81,UPT SPF SD NEGERI BARA BARAYA I,SD,Negeri,195,13,0,7,1200,800,84,51437,11943
82,UPT SPF SD NEGERI BAWAKARAENG I,SD,Negeri,429,22,3,10,7590,4386,85,51352,1194237
83,UPT SPF SD NEGERI BAWAKARAENG II,SD,Negeri,297,16,2,9,3200,2368,84,51353,1194239
84,UPT SPF SD NEGERI BAWAKARAENG III,SD,Negeri,273,17,2,9,920,576,84,51352,1194243
85,UPT SPF SD NEGERI KIP BARA BARAYA II,SD,Negeri,313,15,2,8,1200,846,86,5145,1194318
86,UPT SPF SD NEGERI KIP BARABARAYA I,SD,Negeri,261,16,4,8,2200,1336,83,51436,1194288
87,UPT SPF SD NEGERI KIP MACCINI,SD,Negeri,296,13,2,7,1500,840,82,51399,1194286
88,UPT SPF SD NEGERI KIP V BARA BARAYA,SD,Negeri,217,13,3,7,920,320,84,51436,1194289
89,UPT SPF SD NEGERI LARIANG BANGI I,SD,Negeri,447,30,7,26,5700,4592,86,51363,1194207
90,UPT SPF SD NEGERI MACCINI 2,SD,Negeri,376,20,4,15,4200,2038,85,51358,1194303
91,UPT SPF SD NEGERI MARADEKAYA 1,SD,Negeri,159,9,4,6,7200,1525,86,51422,1194255
92,UPT SPF SD NEGERI MARADEKAYA 2,SD,Negeri,211,12,3,3,2200,1540,84,51422,1194251
93,UPT SPF SD NEGERI MARICAYA 2,SD,Negeri,172,9,2,7,2500,1900,83,51513,1194205
94,UPT SPF SD NEGERI MONGISIDI 2,SD,Negeri,344,18,4,8,1200,580,84,51477,119418
95,UPT SPF SD NEGERI MONGISIDI 3,SD,Negeri,308,18,4,9,1500,580,83,51475,1194182
96,UPT SPF SD NEGERI UNGGULAN MONGISIDI 1,SD,Negeri,406,26,3,11,5210,3654,91,51477,1194181
97,SD ALMADINAH ISLAMIC SCHOOL MAKASSAR,SD,Swasta,58,6,1,6,600,125,79,51491,1194252
98,SD BINA CITRA INDONESIA,SD,Swasta,135,8,1,9,1890,930,91,51464,1194256
99,SD BUDI KASIH MAKASSAR,SD,Swasta,150,15,1,9,8200,1209,92,51414,1194226
100,SD ISLAM DARUL HIKMAH,SD,Swasta,204,5,2,8,1900,1500,84,52137,1194011
101,SD KRISTEN KONDO SAPATA MAKASSAR,SD,Swasta,53,5,0,6,2871,1242,78,51458,1194234
102,SD KRISTEN PELITA KASIH,SD,Swasta,0,9,3,0,27590,12000,92,51484,1194275
103,SD LENTERA KASIH,SD,Swasta,95,10,3,9,2000,700,91,51418153,1194213706
104,SD METRO SCHOOL,SD,Swasta,149,13,5,18,7490,4000,91,51429,1194218
105,SD MUHAMMADIYAH 3,SD,Swasta,58,7,1,7,1009,496,85,51229,1194155
106,SD TUNAS BANGSA MAKASSAR,SD,Swasta,61,8,1,9,2700,1394,93,51487,1194264
107,SD UJUNG PANDANG DISAMAKAN,SD,Swasta,73,6,2,9,3300,2394,84,51435,1194255
108,SDIT AL FATIH,SD,Swasta,596,47,4,30,1516,714,91,51501,1194195
109,UPT SPF SD INPRES BERTINGKAT LABUANG BAJI,SD,Negeri,263,13,5,7,1800,1000,83,51633,1194184
110,UPT SPF SD INPRES BERTINGKAT MAMAJANG 1,SD,Negeri,228,17,3,7,3442,1400,91,51594,1194217
111,UPT SPF SD INPRES BERTINGKAT MAMAJANG 2,SD,Negeri,250,14,1,11,1600,820,85,51594,1194218
112,UPT SPF SD INPRES BERTINGKAT MAMAJANG 3,SD,Negeri,311,23,6,13,920,513,82,51587,1194208
113,UPT SPF SD INPRES PARANG,SD,Negeri,224,15,2,7,1008,600,82,51629,1194171
114,UPT SPF SD INPRES SAMBUNG JAWA 1,SD,Negeri,349,17,6,7,620,200,83,5172,1194062
115,UPT SPF SD INPRES SAMBUNG JAWA 2,SD,Negeri,284,17,6,9,2200,1560,82,51693,1194089
116,UPT SPF SD INPRES SAMBUNG JAWA 3,SD,Negeri,343,16,6,8,1451,900,83,5172,119406
117,UPT SPF SD NEGERI CENDRAWASIH,SD,Negeri,342,16,1,9,2280,1380,84,51668,1194117
118,UPT SPF SD NEGERI CENDRAWASIH I,SD,Negeri,342,19,3,11,2420,1189,84,51669,1194115
119,UPT SPF SD NEGERI KAPOTA YUDHA,SD,Negeri,260,16,4,7,1230,2160,83,51701,1194098
120,UPT SPF SD NEGERI KAPOTA YUDHA I,SD,Negeri,257,14,3,6,800,392,82,51701,1194098
121,UPT SPF SD NEGERI KOMP SAMBUNG JAWA,SD,Negeri,472,19,6,16,4502,2125,83,51716,1194122
122,UPT SPF SD NEGERI LABUANG BAJI I,SD,Negeri,242,16,4,7,950,450,84,51635,1194184
123,UPT SPF SD NEGERI LABUANG BAJI II,SD,Negeri,298,15,4,8,7160,6000,90,51635,1194187
124,UPT SPF SD NEGERI MAMAJANG I,SD,Negeri,238,17,4,7,3400,2516,90,51592,1194217
125,UPT SPF SD NEGERI MAMAJANG II,SD,Negeri,316,16,0,14,2200,1500,83,51586,1194209
126,UPT SPF SD NEGERI MAWAS,SD,Negeri,222,12,0,13,2200,1400,84,5154,1194187
127,UPT SPF SD NEGERI TANGGUL PATOMPO 1,SD,Negeri,342,16,2,11,1002,686,90,51772,11941
128,UPT SPF SD NEGERI TANGGUL PATOMPO 2,SD,Negeri,353,15,2,11,2004,1290,84,51773,1194099
129,SD BAHANA ISLAMIC SCHOOL,SD,Swasta,28,9,1,8,900,352,76,51633,1194226
130,SD CORNERSTONE HOMESTYLE EDUCATION,SD,Swasta,69,7,2,7,1200,598,85,51706326,1194044023
131,SD INDONESIA BINA CERDAS,SD,Swasta,56,7,1,7,5490,580,91,0,0
132,SD KARTIKA XX1 MAKASSAR,SD,Swasta,255,20,5,14,7680,2350,91,51558,1194166
133,SD KATOLIK MAMAJANG,SD,Swasta,236,15,4,15,5280,3483,91,51564,1194214
134,SD MUHAMMADIYAH 2 MAMAJANG,SD,Swasta,70,7,3,8,900,520,77,51589,1194176
135,SEKOLAH KHARISMA,SD,Swasta,65,10,1,9,30680,701616,92,51669,1194133
136,UPT SPF SD INPRES ANTANG I,SD,Negeri,435,22,8,11,5500,4952,91,5141914,119439018
137,UPT SPF SD INPRES ANTANG II,SD,Negeri,489,24,2,19,1299,672,83,514846,119423274
138,UPT SPF SD INPRES BANGKALA I,SD,Negeri,311,20,4,7,1199,2387,85,5142041,11943881
139,UPT SPF SD INPRES BANGKALA II,SD,Negeri,266,17,5,7,900,2387,84,5150589,119435301
140,UPT SPF SD INPRES BANGKALA III,SD,Negeri,399,20,4,12,1300,1700,86,5148948,1194272
141,UPT SPF SD INPRES BATUA I,SD,Negeri,408,16,3,10,3200,1830,85,5149847,11943295
142,UPT SPF SD INPRES BATUA II,SD,Negeri,180,12,3,5,2200,500,81,5147807,11942696
143,UPT SPF SD INPRES BITOA,SD,Negeri,334,18,2,12,2200,1500,82,5139819,119423803
144,UPT SPF SD INPRES BORONG,SD,Negeri,390,17,3,8,2199,1700,83,5142197,119440847
145,UPT SPF SD INPRES BORONG JAMBU I,SD,Negeri,215,14,4,7,3500,1092,81,5148618,119424075
146,UPT SPF SD INPRES BORONG JAMBU II,SD,Negeri,357,17,5,7,1300,1740,84,5144102,119431231
147,UPT SPF SD INPRES BORONG JAMBU III,SD,Negeri,334,17,6,8,4400,750,82,5144859,119436204
148,UPT SPF SD INPRES KAJENJENG,SD,Negeri,153,8,5,7,900,1500,82,5142924,11944105
149,UPT SPF SD INPRES KASSI,SD,Negeri,383,20,5,7,1979,1344,83,5153084,119435584
150,UPT SPF SD INPRES MANGGALA,SD,Negeri,428,18,1,7,2200,1450,82,5150645,119438326
151,UPT SPF SD INPRES NIPANIPA,SD,Negeri,344,18,3,7,900,400,81,5154917,119435814
152,UPT SPF SD INPRES PANNARA,SD,Negeri,362,19,3,8,2200,1055,86,5143823,11942444
153,UPT SPF SD INPRES PERUMNAS ANTANG I,SD,Negeri,337,19,4,8,3200,3780,84,5143756,119426122
154,UPT SPF SD INPRES PERUMNAS ANTANG I1,SD,Negeri,305,17,2,8,450,429,81,5154756,119432798
155,UPT SPF SD INPRES PERUMNAS ANTANG II,SD,Negeri,326,18,3,9,1300,1440,82,515246,119437645
156,UPT SPF SD INPRES PERUMNAS ANTANG II1,SD,Negeri,324,19,5,7,2200,440,84,5156706,119439184
157,UPT SPF SD INPRES PERUMNAS ANTANG III,SD,Negeri,536,24,6,12,1300,1900,91,5140961,119442323
158,UPT SPF SD INPRES TAMANGAPA,SD,Negeri,280,18,6,10,3500,5622,87,5149684,119440335
159,UPT SPF SD INPRES TELLO BARU II,SD,Negeri,354,13,3,9,4400,4202,86,5144964,11942476
160,UPT SPF SD INPRES TELLO BARU III,SD,Negeri,183,12,2,6,440,384,81,5150342,119441722
161,UPT SPF SD INPRES UNGGULAN PURI TAMAN SARI,SD,Negeri,520,25,6,13,15000,1984,92,5144159,119430293
162,UPT SPF SD NEGERI BORONG,SD,Negeri,367,16,9,8,2600,1700,91,5144636,119440246
163,UPT SPF SD NEGERI KASSI,SD,Negeri,284,17,4,6,35000,5622,88,5157658,119431863
164,UPT SPF SD NEGERI PANNARA,SD,Negeri,391,17,4,7,2200,1120,83,5150048,119438907
165,UPT SPF SD NEGERI PARINRING,SD,Negeri,262,16,5,7,2200,2310,84,5150511,119428312
166,SD AKAR PANRITA MAMMINASATA,SD,Swasta,67,8,2,9,612,510,81,5148019,119426665
167,SD ALQURAN WAHDAH ISLAMIYAH 02,SD,Swasta,239,26,5,14,18700,1200,87,5142502,119424502
168,SD DUNIA ANAK ISLAM BARUGA,SD,Swasta,92,7,1,10,320,144,76,5157607,119429803
169,SD ILHAM,SD,Swasta,62,7,1,8,14000,5000,84,5140818,119441679
170,SD ISLAM ATHIRAH 2 BUKIT BARUGA,SD,Swasta,465,45,1,28,66000,237500,95,5148949,119435307
171,SD ISLAM IMPIAN,SD,Swasta,72,6,2,7,120,96,71,5147545,119431804
172,SD ISLAM KHAIRU UMMAH,SD,Swasta,321,21,3,14,6600,300,77,5144305,119440747
173,SD ISLAM TERPADU UNGGULAN MAWADDAH,SD,Swasta,245,10,3,14,32000,300,91,5150615,119438878
174,SD Islam Terpadu Wahdah Islamiyah 01,SD,Swasta,897,74,3,38,13000,6900,92,5155997,11942959
175,SD IT PLUS QURTHUBA,SD,Swasta,440,32,2,12,2200,10000,92,5138231,119430992
176,SD IT SMART SCHOOL MAKASSAR,SD,Swasta,115,7,4,13,6200,5000,91,5140624,119440988
177,SD KRISTEN METHODIST,SD,Swasta,118,9,1,6,1300,1350,83,5146861,119430238
178,SD PESANTREN ULUMUL ISLAM,SD,Swasta,171,6,1,7,2200,750,84,5148854,119423828
179,SDS NURUL MUTTAHID,SD,Swasta,210,9,3,10,24000,1344,85,5143235,119441038
180,UPT SPF SD INPRES MARISO 2,SD,Negeri,297,17,2,11,5200,3010,91,51579,1194069
181,UPT SPF SD INPRES MARISO 3,SD,Negeri,317,16,2,8,2200,1240,82,51582,1194069
182,UPT SPF SD INPRES MARISO I,SD,Negeri,357,16,7,9,2200,3025,82,51579,1194069
183,UPT SPF SD NEGERI BONTORANNU 2,SD,Negeri,490,22,6,11,2200,1024,82,51629,1194058
184,UPT SPF SD NEGERI GARUDA,SD,Negeri,331,18,8,14,3100,2512,82,51540436,1194123162
185,UPT SPF SD NEGERI KAKATUA,SD,Negeri,353,18,12,8,4710,1230,90,51595,1194107
186,UPT SPF SD NEGERI MATTOANGIN 1,SD,Negeri,430,22,5,13,2200,1776,85,516311,11941187
187,UPT SPF SD NEGERI MATTOANGIN II,SD,Negeri,407,25,3,11,2200,1200,85,51629871,1194114376
188,UPT SPF SD NEGERI PATOMPO II,SD,Negeri,242,17,2,9,2200,1104,87,51558,1194117
189,UPT SPF SD NEGERI RAJAWALI,SD,Negeri,184,8,5,5,800,330,84,51559517,11940982
190,SD ISLAM RANU HARAPAN,SD,Swasta,37,3,1,6,2200,1296,84,0,0
191,SD KATOLIK SANTO YAKOBUS,SD,Swasta,294,13,3,15,9500,5200,91,51608417,1194118983
192,SD MUHAMMADIYAH 6 MKS,SD,Swasta,61,3,1,5,1200,500,74,51605657,1194106987
193,SD NASIONAL MAKASSAR,SD,Swasta,138,6,2,9,4670,2600,84,51562524,1194161507
194,SD RUNIAH SCHOOL,SD,Swasta,99,9,4,11,8200,2882,91,51603,1194115
195,UPT SPF SD INPRES KARUWISI 2,SD,Negeri,351,22,3,12,2200,4020,84,5142294,119433892
196,UPT SPF SD INPRES KARUWISI I,SD,Negeri,273,17,3,9,2200,1440,85,5150909,11943745
197,UPT SPF SD INPRES PAMPANG 1,SD,Negeri,343,17,3,7,3000,1378,83,5156522,119426409
198,UPT SPF SD INPRES PAMPANG II,SD,Negeri,332,18,4,8,3500,400,82,5154335,119434065
199,UPT SPF SD INPRES PANAIKANG 11,SD,Negeri,252,18,1,10,5500,1125,85,5148378,11943874
200,UPT SPF SD INPRES PANAIKANG II1,SD,Negeri,431,19,4,8,13000,120,86,5140998,119436193
201,UPT SPF SD INPRES PAROPO,SD,Negeri,168,12,3,7,12999,1296,84,5150696,119438003
202,UPT SPF SD INPRES TAMAJENE,SD,Negeri,293,13,5,8,2500,1200,84,514931,119426748
203,UPT SPF SD INPRES TAMAMAUNG I,SD,Negeri,348,17,2,7,1199,1640,86,5154006,119441825
204,UPT SPF SD INPRES TAMAMAUNG II,SD,Negeri,280,18,2,8,3500,1625,91,5153099,119428719
205,UPT SPF SD INPRES TAMAMAUNG III,SD,Negeri,353,18,4,7,1300,1493,81,5148075,11943281
206,UPT SPF SD INPRES TAMAMAUNG IV,SD,Negeri,288,18,2,7,2300,1640,86,5143633,119441236
207,UPT SPF SD INPRES TELLO BARU,SD,Negeri,317,17,3,7,1000,336,83,5148217,119427151
208,UPT SPF SD INPRES TELLO BARU I1,SD,Negeri,234,18,4,7,1500,336,85,5143452,119437717
209,UPT SPF SD INPRES TELLO BARU I2,SD,Negeri,336,19,1,7,1300,1500,87,5144323,119434185
210,UPT SPF SD INPRES TODDOPULI 1,SD,Negeri,403,18,2,7,2200,3500,92,5139607,119432941
211,UPT SPF SD INPRES UNGGULAN TODDOPULI,SD,Negeri,499,20,5,12,1300,2520,93,5137872,119441985
212,UPT SPF SD NEGERI BATULACCU,SD,Negeri,167,9,2,7,900,1680,86,5156151,119424901
213,UPT SPF SD NEGERI KARUWISI 2,SD,Negeri,207,13,3,6,2200,595,83,5151357,119441081
214,UPT SPF SD NEGERI PACCINANG,SD,Negeri,462,26,2,9,5499,604,92,5142977,119440655
215,UPT SPF SD NEGERI PACCINANG 1,SD,Negeri,352,17,2,7,1300,486,86,5153386,119434754
216,UPT SPF SD NEGERI PAMPANG,SD,Negeri,363,17,5,8,5500,1575,87,5150132,11942996
217,UPT SPF SD NEGERI PANAIKANG 1,SD,Negeri,436,22,2,9,3500,371,84,5149871,119429197
218,UPT SPF SD NEGERI PANAIKANG 2,SD,Negeri,424,22,5,12,1300,1500,85,5145677,119440133
219,UPT SPF SD NEGERI PANAIKANG 3,SD,Negeri,336,18,3,6,5000,432,85,5147956,119435527
220,UPT SPF SD NEGERI PANNYIKKOKANG 1,SD,Negeri,268,18,4,9,2300,2560,92,5140547,119435486
221,UPT SPF SD NEGERI PANNYIKKOKANG II,SD,Negeri,183,12,0,7,5499,2560,83,5145749,119425834
222,UPT SPF SD NEGERI TAMAMAUNG,SD,Negeri,148,11,1,6,1200,357,88,513805,119432179
223,UPT SPF SD NEGERI TAMAMAUNG 1,SD,Negeri,362,16,4,9,1500,3655,83,5146968,119433307
224,SD BINA KASIH,SD,Swasta,91,11,2,9,10000,400,91,5144394,119424254
225,SD BUSTANUL ISLAMIAH,SD,Swasta,102,6,1,8,3500,500,89,5154123,119428511
226,SD DUNIA ANAK ISLAM,SD,Swasta,49,12,1,7,700,800,91,5146177,119430305
227,SD ISLAM ALIZHAR CENDEKIA MAKASSAR,SD,Swasta,123,12,2,16,1340,3000,82,5144117,119436712
228,SD ISLAM ATHIRAH RACING CENTRE,SD,Swasta,184,28,4,8,23000,2958,93,5154635,119425193
229,SD ISLAM PAROPO,SD,Swasta,88,6,1,8,900,168,83,5147384,119442435
230,SD ISLAM TERPADU ALQALAM,SD,Swasta,148,10,1,7,12000,234,77,5146635,119425136
231,SD ISLAM TERPADU DARUL FIKRI MAKASSAR,SD,Swasta,720,61,2,26,105000,1403,92,5153354,119426175
232,SD IT  AL  BIRUNI MANDIRI,SD,Swasta,148,12,3,13,5000,460,90,5151825,119436786
233,SD IT DARUL MUHSIN MAKASSAR,SD,Swasta,0,9,4,0,900,366,78,5151027,119438202
234,SD KEMALA BHAYANGKARI,SD,Swasta,109,6,2,8,1300,800,85,5151537,119429844
235,SD MADANIA MAKASSAR,SD,Swasta,113,18,9,9,164998,12000,92,5138203,119430338
236,SD MUHAMMADIYAH IDI TELLO BARU,SD,Swasta,199,9,2,8,2200,800,82,5142905,119425465
237,SD MUHAMMADIYAH KARUWISI,SD,Swasta,0,1,0,0,912,600,74,5146789,119427328
238,SD NUR MIYAZAKI ISLAMIC CHARACTER SCHOOL,SD,Swasta,0,5,1,0,1200,240,90,5156581,1194297
239,SD QUR AN SAVATY,SD,Swasta,77,3,1,7,7700,2000,85,5154722,119434371
240,SD RAMA SEJAHTERA  MAKASSAR,SD,Swasta,90,4,0,6,2200,2000,86,5154773,119430747
241,SD SWASTA FILADELFIA,SD,Swasta,0,13,2,0,3459,10000,91,5143749,119433009
242,SD TERPADU RAMA,SD,Swasta,179,19,4,15,2000,375,92,513867,119434442
243,SDIT WIHDATUL UMMAH,SD,Swasta,765,81,9,38,43000,3806,91,5157198,119438156
244,SDS ISLAM ALBAYYINAH,SD,Swasta,461,21,1,20,11992,920,88,5156624,119438082
245,SD KIDS STAR,SPK SD,Swasta,297,17,2,15,30000,1824,90,5149245,119430229
246,UPT SATUAN PENDIDIKAN FORMAL (SPF) SD INPRES PERUMNAS,SD,Negeri,0,38,7,0,1458,3799,85,5142295,119425407
247,UPT SPF SD INPRES BANTA BANTAENGI,SD,Negeri,390,18,6,7,1300,1410,84,5155377,119433023
248,UPT SPF SD INPRES BERTINGKAT KELAPA TIGA,SD,Negeri,207,16,4,7,1300,1540,83,5152798,119427983
249,UPT SPF SD INPRES BTN IKIP I,SD,Negeri,311,19,2,12,1300,3482,91,5146457,119425611
250,UPT SPF SD INPRES BTN IKIP II,SD,Negeri,174,12,4,8,900,2080,82,5154725,119441575
251,UPT SPF SD INPRES CILALLANG,SD,Negeri,310,16,8,10,3500,1772,88,514899,11944251
252,UPT SPF SD INPRES GUNUNG SARI BARU,SD,Negeri,195,14,2,9,1500,1785,86,5142535,119429614
253,UPT SPF SD INPRES KAMPUS IKIP,SD,Negeri,239,18,2,7,2200,1642,84,5150462,119423654
254,UPT SPF SD INPRES KARUNRUNG,SD,Negeri,289,17,3,10,1300,2077,82,5142317,119432505
