No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
779,UPTD SD NEGERI 173 BARRU,SD,Negeri,14,12,4,7,900,4989,93,4406361,119621806
780,UPTD SD NEGERI 174 BARRU,SD,Negeri,84,15,3,12,5500,3284,94,4422302,119637922
781,UPTD SD NEGERI 175 BARRU,SD,Negeri,25,10,2,7,900,531,94,4406841,119632548
782,UPTD SD NEGERI 104 BARRU,SD,Negeri,77,10,3,13,5500,3376,88,4422029,119626519
783,UPTD SD NEGERI 105 BARRU,SD,Negeri,74,8,3,8,1300,3202,84,4419658,119634588
784,UPTD SD NEGERI 106 BARRU,SD,Negeri,61,7,1,6,2200,4724,90,4405922,119626152
785,UPTD SD NEGERI 107 BARRU,SD,Negeri,0,8,2,0,3500,3919,72,4412868,119626601
786,UPTD SD NEGERI 108 BARRU,SD,Negeri,68,9,4,7,2200,4100,98,441847,119635243
787,UPTD SD NEGERI 109 BARRU,SD,Negeri,21,9,4,7,5500,2957,70,4403094,119635585
788,UPTD SD NEGERI 110 BARRU,SD,Negeri,58,7,1,10,2200,669,73,4420239,119636529
789,UPTD SD NEGERI 111 BARRU,SD,Negeri,69,9,2,7,5500,535,90,4407038,119623071
790,UPTD SD NEGERI 112 BARRU,SD,Negeri,38,5,2,7,1300,4820,93,4414724,119627328
791,UPTD SD NEGERI 113 BARRU,SD,Negeri,31,8,2,6,5500,3901,79,4416026,119632522
792,UPTD SD NEGERI 114 BARRU,SD,Negeri,51,8,3,7,1300,2106,81,4416069,119624689
793,UPTD SD NEGERI 115 BARRU,SD,Negeri,113,8,1,10,900,1440,86,4414361,119627412
794,UPTD SD NEGERI 116 BARRU,SD,Negeri,59,8,3,7,1300,2199,89,4417685,119640259
795,UPTD SD NEGERI 117 BARRU,SD,Negeri,78,9,4,7,900,2437,85,4410989,119629211
796,UPTD SD NEGERI 118 BARRU,SD,Negeri,79,7,3,7,1300,1417,80,4419237,119635347
797,UPTD SD NEGERI 119 BARRU,SD,Negeri,82,8,4,7,900,815,76,4420087,119626534
798,UPTD SD NEGERI 120 BARRU,SD,Negeri,106,8,2,7,2200,4268,96,4413626,119640081
799,UPTD SD NEGERI 121 BARRU,SD,Negeri,72,9,0,7,2200,1337,79,4405321,119627683
800,UPTD SD NEGERI 122 BARRU,SD,Negeri,177,8,3,7,2200,2585,96,4422095,11963207
801,UPTD SD NEGERI 123 BARRU,SD,Negeri,66,7,4,7,1300,3838,76,4412916,119640928
802,UPTD SD NEGERI 124 BARRU,SD,Negeri,43,9,1,7,5500,1514,78,4417475,119628635
803,UPTD SD NEGERI 176 BARRU,SD,Negeri,154,16,2,20,5500,2450,83,4409154,119639861
804,UPTD SD NEGERI 177 BARRU,SD,Negeri,36,10,2,7,5500,2080,76,4407304,119631458
805,UPTD SD NEGERI 178 BARRU,SD,Negeri,96,9,2,9,900,3062,76,4416297,119628735
806,UPTD SD NEGERI 179 BARRU,SD,Negeri,54,9,3,7,2200,2328,87,440386,119628362
807,UPTD SD NEGERI 180 BARRU,SD,Negeri,59,6,3,8,3500,4309,97,4408643,119637304
808,UPTD SD NEGERI 181 BARRU,SD,Negeri,67,10,2,8,1300,2465,95,4422044,119636106
809,UPTD SD NEGERI 182 BARRU,SD,Negeri,81,9,4,8,1300,519,82,4417914,119638545
810,UPTD SD NEGERI 183 BARRU,SD,Negeri,66,9,2,7,5500,974,85,44216,119627964
811,UPTD SD NEGERI 184 BARRU,SD,Negeri,39,7,2,7,900,2080,97,4411891,119639812
812,UPTD SD NEGERI 185 BARRU,SD,Negeri,33,8,3,7,3500,2634,98,4415585,119623068
813,UPTD SD NEGERI 186 BARRU,SD,Negeri,6,7,2,7,3500,1756,79,4410603,119630652
814,UPTD SD NEGERI 187 BARRU,SD,Negeri,129,9,2,10,5500,1025,74,4412489,119637673
815,UPTD SD NEGERI 188 BARRU,SD,Negeri,107,9,3,7,5500,4924,89,4403882,119636427
816,UPTD SD NEGERI 189 BARRU,SD,Negeri,151,10,3,7,900,3975,95,4408637,119638923
817,UPTD SD NEGERI 190 BARRU,SD,Negeri,88,9,3,8,3500,4420,73,4404381,11962178
818,UPTD SD NEGERI 191 BARRU,SD,Negeri,130,11,3,9,2200,4483,92,4421841,119626774
819,UPTD SD NEGERI 192 BARRU,SD,Negeri,67,9,4,8,2200,2935,93,4421981,119638323
820,UPTD SD NEGERI 193 BARRU,SD,Negeri,70,9,3,7,900,4088,87,4419856,119637481
821,UPTD SD NEGERI 194 BARRU,SD,Negeri,70,9,3,8,2200,674,82,4404792,1196285
822,UPTD SD NEGERI 195 BARRU,SD,Negeri,32,9,3,8,1300,4863,86,4420876,119638316
823,UPTD SD NEGERI 196 BARRU,SD,Negeri,46,9,2,7,900,833,81,4409446,119626027
824,UPTD SD NEGERI 197 BARRU,SD,Negeri,17,10,2,6,3500,3798,88,4413086,119622022
825,SD INPRES 12/79 BIRU I,SD,Negeri,82,8,2,7,5500,4882,89,454382,120229544
826,SD INPRES 12/79 BIRU II,SD,Negeri,125,8,2,10,2200,3909,75,4554239,120226765
827,SD INPRES 12/79 PAPPOLO,SD,Negeri,80,7,3,7,900,2186,99,4551142,120229043
828,SD INPRES 12/79 TA,SD,Negeri,133,8,3,7,3500,1221,91,4553641,12021866
829,SD INPRES 12/79 WATAMPONE,SD,Negeri,60,8,3,7,3500,4402,88,4556017,120217628
830,SD INPRES 3/77 BUKAKA,SD,Negeri,86,6,1,7,5500,4693,80,4551109,120228977
831,SD INPRES 3/77 MANURUNGE,SD,Negeri,51,9,2,6,5500,2829,80,4539185,120215878
832,SD INPRES 3/77 WALANNAE,SD,Negeri,47,7,1,6,5500,4460,76,4553899,12021337
833,SD INPRES 4/82 BIRU,SD,Negeri,138,9,3,8,5500,4970,86,4549609,120223887
834,SD INPRES 6/75 BIRU,SD,Negeri,158,7,3,7,2200,869,99,4556168,120227561
835,SD INPRES 6/75 BUKAKA,SD,Negeri,162,7,3,7,1300,3091,75,4553953,120222514
836,SD INPRES 6/75 MANURUNGE,SD,Negeri,278,13,3,11,5500,773,72,4539553,120221605
837,SD INPRES 6/75 TA,SD,Negeri,141,8,3,7,900,2537,82,4549573,120222244
838,SD INPRES 6/86 BIRU,SD,Negeri,158,7,3,8,3500,4613,89,4544663,120222716
839,SD NEGERI 1 WATAMPONE,SD,Negeri,149,8,2,6,3500,2483,73,4553018,12021587
840,SD NEGERI 10 MANURUNGE,SD,Negeri,393,23,2,19,2200,2422,82,4550185,120228375
841,SD NEGERI 11 WATAMPONE,SD,Negeri,239,13,3,13,3500,4388,82,4543979,120225588
842,SD NEGERI 12 MANURUNGE,SD,Negeri,86,8,2,7,3500,906,92,4543131,120226251
843,SD NEGERI 13 BIRU,SD,Negeri,422,20,4,17,5500,712,76,4547365,120218878
844,SD NEGERI 14 BIRU,SD,Negeri,241,15,4,13,1300,1886,95,4546855,120224805
845,SD NEGERI 15 BUKAKA,SD,Negeri,41,7,1,7,5500,3051,91,454783,120216973
846,SD NEGERI 2 MANURUNGE,SD,Negeri,261,14,4,10,900,4877,98,4547576,120211694
847,SD NEGERI 3 TA,SD,Negeri,246,12,2,10,5500,1378,84,4546582,120226674
848,SD NEGERI 39 PAPPOLO,SD,Negeri,77,7,3,7,2200,2168,70,4555465,120213235
849,SD NEGERI 4 MANURUNGE,SD,Negeri,117,7,4,7,1300,1557,92,4548162,120215089
